y,ψ(x=0),ψ(x=1),ψ(x=2),ψ(x=3)
0.0,300.0,300.0,300.0,300.0
0.1,300.0,233.4847,233.4847,300.0
0.2,300.0,212.5454,212.5454,300.0
0.30000000000000004,300.0,203.6833,203.6833,300.0
0.4,300.0,199.0131,199.0131,300.0
0.5,300.0,196.4873,196.4873,300.0
0.6000000000000001,300.0,195.5385,195.5385,300.0
0.7000000000000001,300.0,196.027,196.027,300.0
0.8,300.0,197.9405,197.9405,300.0
0.9,300.0,201.2536,201.2536,300.0
1.0,300.0,205.8038,205.8038,300.0
1.1,300.0,211.176,211.176,300.0
1.2000000000000002,300.0,216.76,216.76,300.0
1.3,300.0,222.1885,222.1885,300.0
1.4000000000000001,300.0,227.3975,227.3975,300.0
1.5,300.0,232.5181,232.5181,300.0
1.6,300.0,237.7695,237.7695,300.0
1.7000000000000002,300.0,243.3742,243.3742,300.0
1.8,300.0,249.4764,249.4764,300.0
1.9000000000000001,300.0,256.0322,256.0322,300.0
2.0,300.0,262.705,262.705,300.0
2.1,300.0,268.9237,268.9237,300.0
2.2,300.0,274.3251,274.3251,300.0
2.3000000000000003,300.0,278.8133,278.8133,300.0
2.4000000000000004,300.0,282.4555,282.4555,300.0
2.5,300.0,285.3839,285.3839,300.0
2.6,300.0,287.7386,287.7386,300.0
2.7,300.0,289.6444,289.6444,300.0
2.8000000000000003,300.0,291.2033,291.2033,300.0
2.9000000000000004,300.0,292.4963,292.4963,300.0
3.0,300.0,293.5857,293.5857,300.0
3.1,300.0,294.5202,294.5202,300.0
3.2,300.0,295.3365,295.3365,300.0
3.3000000000000003,300.0,296.0634,296.0634,300.0
3.4000000000000004,300.0,296.7228,296.7228,300.0
3.5,300.0,297.3318,297.3318,300.0
3.6,300.0,297.9035,297.9035,300.0
3.7,300.0,298.4486,298.4486,300.0
3.8000000000000003,300.0,298.9752,298.9752,300.0
3.9000000000000004,300.0,299.4904,299.4904,300.0
4.0,300.0,300.0,300.0,300.0
